arac_yasi,km,yillik_km,hasar_skoru,motor_hacmi_cc,motor_gucu_hp,guc_hacim_orani,cekis_enc,kimden_galeri,kimden_bayi,agir_hasarli_evet,takasa_uygun_evet,marka_enc,seri_enc,yakit_tipi_enc,vites_tipi_enc,kasa_tipi_enc,renk_enc,arac_durumu_enc,fiyat_log,fiyat
2.0,6001.0,3000.5,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,71,109,2,3,4,11,3,13.1421679654829,510000.0
3.0,6000.0,2000.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,71,109,2,3,0,2,3,12.676079399771027,320000.0
1.0,6200.0,6200.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,1,6,3,12.384223015005313,239000.0
4.0,17000.0,4250.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,6,3,12.02874460037869,167500.0
3.0,6001.0,2000.3333333333333,0,1500.0,200.0,0.13333333333333333,0,1,0,0,1,67,166,0,1,1,18,3,15.149195232316444,3795000.0
2.0,13100.0,6550.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,3,6,3,12.425212191503038,249000.0
1.0,6001.0,6001.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,7,2,3,12.791080452981857,359000.0
1.0,6002.0,6002.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,1,69,212,2,1,3,7,3,12.345838935721968,230000.0
1.0,6001.0,6001.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,6,3,12.301387370778713,220000.0
2.0,6001.0,3000.5,0,1499.0,204.0,0.07179487179487179,1,0,0,0,0,69,212,2,1,4,6,3,12.206077645517674,200000.0
2.0,6001.0,3000.5,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,6,3,12.206077645517674,200000.0
1.0,6001.0,6001.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,8,3,12.506180941677357,270000.0
2.0,6001.0,3000.5,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,2,6,3,12.230770136157428,205000.0
1.0,6000.0,6000.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,2,2,3,12.793862088206213,360000.0
4.0,8600.0,2150.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,8,3,12.122696471358964,184000.0
2.0,6550.0,3275.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,7,6,3,12.230770136157428,205000.0
2.0,6015.0,3007.5,0,1499.0,50.0,0.07179487179487179,1,1,0,0,1,69,212,2,1,2,6,3,12.25486757159303,210000.0
2.0,1600.0,800.0,0,1499.0,105.0,0.07179487179487179,0,0,1,0,0,69,212,2,3,0,7,3,12.301387370778713,220000.0
2.0,6100.0,3050.0,0,1499.0,50.0,0.07179487179487179,0,1,0,0,0,69,212,2,1,3,6,3,12.570371950022508,287900.0
4.0,6001.0,1500.25,0,1499.0,105.0,0.07179487179487179,0,1,0,0,0,69,212,2,3,5,8,3,12.04355959836804,170000.0
1.0,6000.0,6000.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,8,3,12.449022745701502,255000.0
1.0,6000.0,6000.0,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,3,0,2,3,12.765691290604371,350000.0
2.0,6001.0,3000.5,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,69,212,2,1,3,6,3,12.409017571151187,245000.0
3.0,6440.0,2146.6666666666665,0,1499.0,105.0,0.07179487179487179,0,0,0,0,0,71,109,2,3,4,22,3,12.899222326086994,400000.0
