marka,motor_kodu,uretim_yillari,hacim_cc,guc_hp,tork_nm,yakit_tipi,silindir_konf,silindir_sayisi,blok_malzemesi,turbo,kompresyon_orani,tavsiye_edilen_yag,yag_kapasitesi_l,motor_omru_km,agirlik_kg,euro_standardi
Audi,BDW,2004-2008,2393.0,177.0,230.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.3,5w-30,6.5,280000.0,,euro 4
Audi,AUK,2004-2010,3123.0,256.0,330.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),12.5,5w-30,6.5,260000.0,,euro 4
Audi,BDX,2006-2010,2773.0,210.0,280.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),12.0,5w-30,6.2,250000.0,,euro 4
Audi,CAJA,2008-2011,2995.0,290.0,420.0,Benzin,V,6.0,Alüminyum,Evet,10.5,5w-30,6.5,250000.0,,euro 5
Audi,CGWA,2009-2013,2995.0,290.0,420.0,Benzin,V,6.0,Alüminyum,Evet,10.5,5w-30,6.5,240000.0,,euro 5
Audi,CGWB,2010-2012,2995.0,300.0,440.0,Benzin,V,6.0,Alüminyum,Evet,10.5,5w-30,6.5,260000.0,,euro 5
Audi,CREC,since 2014,2995.0,333.0,440.0,Benzin,V,6.0,Alüminyum,Evet,10.8,5w-30,6.8,250000.0,,euro 6
Audi,CZSE,since 2017,2995.0,340.0,500.0,Benzin,V,6.0,Alüminyum,Evet,11.2,0w-20,7.0,260000.0,,euro 6
Audi,DLZA,since 2018,2995.0,340.0,500.0,Benzin,V,6.0,Alüminyum,Evet,11.2,0w-20,7.0,270000.0,,euro 6
Audi,CWGD,since 2016,2995.0,354.0,500.0,Benzin,V,6.0,Alüminyum,Evet,11.2,0w-20,7.0,250000.0,,euro 6
BMW,N42B18,2001-2004,1796.0,116.0,175.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,4.25,250000.0,120.0,euro 3
BMW,M54B30,2000-2006 munich plant,2979.0,231.0,300.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),10.2,5w-30,6.5,330000.0,,euro 3/4
BMW,N45B16,2004-2011,1596.0,116.0,150.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,4.5,320000.0,,euro 4/5
BMW,N43B20,2007-2011,1995.0,,,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),12.0,5w-30,4.25,250000.0,,euro 4/5
BMW,M44B19,1996-2001 munich plant,1895.0,140.0,180.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.0,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-50,5.0,300000.0,,euro 3
BMW,M50B20,1990-1996 munich plant,1991.0,150.0,190.0,Benzin,Sıra (Inline),6.0,Dökme Demir,Hayır (Atmosferik),,5w-30,5.75,400000.0,,
BMW,N45B20S,2006-2007,1997.0,177.0,210.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.5,250000.0,,euro 4
BMW,N46B18,2004-2005 bmw plant hams hall,1796.0,116.0,175.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.2,5w-30,4.25,320000.0,,euro 4
BMW,N46B20,2004-2012 bmw plant hams hall,1995.0,,,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,4.25,300000.0,,euro 4/5
BMW,N53B30,2007-2013,2996.0,,,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),12.0,5w-30,6.5,300000.0,,euro 5
BMW,N54B30,2006-2016,2979.0,,,Benzin,Sıra (Inline),6.0,Alüminyum,Evet,10.2,5w-30,6.5,250000.0,,euro 5
BMW,N55B30,2009-2018,2979.0,,,Benzin,Sıra (Inline),6.0,Alüminyum,Evet,10.2,5w-30,6.5,300000.0,,euro 5
BMW,N62B36,2001-2004,3600.0,272.0,360.0,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,8.0,300000.0,213.0,euro 3/4
BMW,N62B40,2005-2010,4000.0,306.0,390.0,Benzin,V,8.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,8.0,310000.0,,euro 3/4
BMW,N43B16,2007-2011,1599.0,122.0,160.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),12.0,5w-30,4.25,240000.0,,euro 4/5
BMW,N52B25,2005-2011,2497.0,197.5,240.0,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,6.5,250000.0,,euro 4/5
BMW,N53B25,2007-2010,2497.0,190.0,237.5,Benzin,Sıra (Inline),6.0,Alüminyum,Hayır (Atmosferik),12.0,5w-30,6.5,275000.0,,euro 5
