Car_Brand,Model,Engine_Type,Fuel_Efficiency,Braking_Performance,Emissions,Driving_Condition,Weather_Condition,Engine_Performance,Safety_Rating,Electric_Range,Driving_Comfort,Reliability
Tesla,Model 3,Diesel,16,90,169,Heavy Traffic,Snowy,422,4,389.0,8,1
BMW,3 Series,Petrol,22,51,170,Urban,Rainy,228,4,,7,2
Tesla,Model S,Diesel,28,74,135,Highway,Clear,188,4,306.0,7,1
Mercedes,GLE,Electric,13,80,155,Off-Road,Rainy,170,4,,6,3
Ford,F-150,Diesel,25,64,148,Extreme Weather,Rainy,330,4,,9,2
Hyundai,Kona EV,Diesel,16,57,152,Urban,Rainy,272,4,,8,3
BMW,3 Series,Diesel,13,82,168,Heavy Traffic,Clear,282,4,,7,2
Mercedes,E-Class,Petrol,19,66,127,Urban,Snowy,166,5,,9,2
Mercedes,E-Class,Diesel,11,76,196,Off-Road,Clear,491,4,,7,2
Toyota,Corolla,Diesel,13,82,165,Off-Road,Rainy,357,4,,6,1
Hyundai,Kona EV,Petrol,17,50,127,Urban,Rainy,234,4,,7,3
Ford,F-150,Electric,17,50,148,Urban,Snowy,492,5,,8,1
Mercedes,E-Class,Petrol,20,66,141,Urban,Rainy,390,5,,9,2
Mercedes,GLE,Petrol,14,87,199,Heavy Traffic,Rainy,386,5,,6,1
Mercedes,E-Class,Electric,27,79,148,Highway,Snowy,180,5,,7,2
Tesla,Model S,Electric,16,64,145,Urban,Rainy,150,4,356.0,7,2
Toyota,Camry,Petrol,38,62,116,Highway,Clear,465,5,,9,1
Hyundai,Sonata,Diesel,23,78,165,Extreme Weather,Clear,494,5,,8,2
Hyundai,Sonata,Petrol,22,53,129,Urban,Rainy,412,4,,9,2
Toyota,Camry,Petrol,19,85,160,Heavy Traffic,Snowy,381,5,,6,3
Toyota,Corolla,Electric,17,80,207,Heavy Traffic,Clear,427,4,,7,2
BMW,X5,Petrol,19,74,139,Extreme Weather,Clear,376,5,,9,1
Toyota,Camry,Petrol,26,76,107,Highway,Snowy,427,4,,7,2
